sample_length_mm,scanning_time_sec,stitching_time_sec
466.2,1005.26,145.62
512.4,961.06,216.8
413.7,851.56,87.86
462.0,738.29,110.61
457.8,671.4,111.91
417.9,906.66,125.63
291.9,695.39,75.28
409.5,725.54,132.26
87.0,389.12,27.62
100.5,351.26,37.13
1525.5,1599.26,295.58
252.0,731.28,88.18
130.5,410.17,36.2
118.5,408.83,36.0
417.9,747.31,144.89
424.2,956.94,114.79
133.5,475.53,47.62
138.0,456.76,49.41
491.4,974.59,126.14
485.1,1136.55,116.49
167.4,491.11,49.08
141.0,506.9,45.68
181.8,462.93,55.57
275.4,587.79,86.51
320.4,831.56,99.73
210.6,531.7,59.64
43.5,244.25,25.8
31.5,204.14,18.28
130.5,491.53,51.41
99.0,416.28,40.01
231.0,824.82,104.81
142.5,536.56,67.91
144.0,525.63,83.51
237.0,798.28,103.02
132.0,539.99,81.34
163.5,620.78,93.35
201.0,642.43,108.63
150.0,468.63,73.15
151.5,565.37,51.17
157.5,691.17,59.51
112.5,406.4,58.46
165.0,591.87,73.41
151.5,537.37,81.78
86.4,304.21,36.35
90.0,269.38,25.82
590.4,850.77,127.86
296.1,671.11,80.29
46.5,247.25,14.35
67.5,258.54,21.06
189.0,782.91,61.36
180.0,637.57,64.61
2006.1,2485.02,490.13
1919.7,2749.45,388.93
150.0,515.83,62.53
228.6,689.85,68.18
198.0,673.45,67.23
169.5,595.76,51.57
178.2,428.54,47.03
165.6,394.81,46.57
176.4,624.41,55.55
429.6,737.52,81.09
338.4,861.57,86.19
556.5,1063.92,217.12
476.7,988.06,130.32
356.4,972.35,91.64
108.0,474.4,50.29
99.0,474.24,38.08
575.4,1232.51,157.5
564.9,1032.04,144.24
150.0,554.94,59.5
166.5,521.3,68.73
564.9,1434.52,156.99
539.7,1240.29,140.79
300.6,643.17,96.75
289.8,710.67,88.18
226.8,648.64,55.1
217.8,676.96,59.09
259.2,822.27,70.9
554.4,1242.67,144.52
189.0,655.38,55.97
184.5,699.05,55.88
183.6,626.15,45.23
205.2,573.1,54.41
15900.0,573.9,63.02
230.4,760.94,58.66
382.2,976.72,129.48
371.7,973.23,118.08
18600.0,728.63,80.71
239.4,793.54,64.3
234.0,802.39,84.61
178.5,751.17,70.54
142.5,538.92,48.59
162.0,474.4,55.81
594.3,1390.76,151.43
604.8,1272.58,112.63
531.3,1225.7,142.16
539.7,1389.49,165.12
385.2,807.43,105.39
313.2,823.47,101.68
369.0,1187.07,186.35
238.5,668.05,103.07
363.3,632.38,136.72
369.6,727.74,112.34
529.2,1140.44,177.22
522.9,850.05,151.91
564.9,1198.47,176.05
474.6,986.22,124.48
581.7,1055.81,144.2
529.2,933.65,142.84
405.3,788.66,145.61
350.7,798.78,112.46
120.0,463.91,63.64
124.5,581.28,71.83
308.7,717.21,91.97
346.5,919.97,88.61
1482.3,1487.57,246.23
232.2,658.05,64.65
289.8,722.22,70.91
966.6,1207.62,172.26
253.5,704.75,78.75
1841.4,2291.16,315.53
325.8,811.18,93.2
112.5,528.07,37.19
106.5,410.86,31.66
1317.6,1692.62,237.1
241.2,842.48,70.16
230.4,646.92,64.76
237.6,738.58,64.79
145.5,444.14,56.49
138.0,492.35,49.48
78.0,384.2,25.72
81.0,312.49,28.96
133.5,543.12,44.81
130.5,527.27,39.72
1355.4,1469.57,222.44
1360.8,1796.29,222.64
365.4,714.09,94.06
148.5,545.0,48.64
231.0,677.04,71.97
232.5,645.0,73.37
160.5,540.15,47.56
145.5,500.08,40.66
108.0,411.07,59.95
138.0,434.71,82.47
120.0,457.96,78.49
102.0,436.92,58.16
208.8,568.71,150.46
144.0,439.58,82.22
234.0,698.37,114.23
333.0,826.18,203.36
153.0,613.27,85.63
153.0,560.08,69.15
230.4,733.52,118.37
234.0,683.15,114.87
230.4,689.25,77.91
223.2,593.08,103.93
286.2,706.87,170.76
90.0,357.66,43.42
81.0,354.01,39.68
